id,name,url,license
539583,Eurasian Blackcap,https://xeno-canto.org/539583/download,//creativecommons.org/licenses/by-sa/4.0/
473248,Common Starling,https://xeno-canto.org/473248/download,//creativecommons.org/licenses/by-sa/4.0/
554154,Wood Warbler,https://xeno-canto.org/554154/download,//creativecommons.org/licenses/by-sa/4.0/
903474,Red-backed Shrike,https://xeno-canto.org/903474/download,//creativecommons.org/licenses/by-sa/4.0/
250922,Solitary Eagle,https://xeno-canto.org/250922/download,//creativecommons.org/licenses/by-sa/4.0/
250548,Grey-lined Hawk,https://xeno-canto.org/250548/download,//creativecommons.org/licenses/by-sa/4.0/
782307,Bull-headed Shrike,https://xeno-canto.org/782307/download,//creativecommons.org/licenses/by/4.0/
926680,Blyth's Pipit,https://xeno-canto.org/926680/download,//creativecommons.org/licenses/by-sa/4.0/
457158,Eversmann's Redstart,https://xeno-canto.org/457158/download,//creativecommons.org/licenses/by-sa/4.0/
241108,Broad-winged Hawk,https://xeno-canto.org/241108/download,//creativecommons.org/licenses/by-sa/4.0/
541678,Eurasian Blue Tit,https://xeno-canto.org/541678/download,//creativecommons.org/licenses/by-sa/4.0/
901629,Wood Warbler,https://xeno-canto.org/901629/download,//creativecommons.org/licenses/by-sa/4.0/
799455,Red-backed Shrike,https://xeno-canto.org/799455/download,//creativecommons.org/licenses/by-sa/4.0/
648842,Wood Warbler,https://xeno-canto.org/648842/download,//creativecommons.org/licenses/by-sa/4.0/
336956,Oriental Skylark,https://xeno-canto.org/336956/download,//creativecommons.org/licenses/by-sa/4.0/
473244,Black Redstart,https://xeno-canto.org/473244/download,//creativecommons.org/licenses/by-sa/4.0/
649712,Wood Warbler,https://xeno-canto.org/649712/download,//creativecommons.org/licenses/by-sa/4.0/
791063,Black Redstart,https://xeno-canto.org/791063/download,//creativecommons.org/licenses/by/4.0/
644058,Common Starling,https://xeno-canto.org/644058/download,//creativecommons.org/licenses/by-sa/4.0/
828984,Black Redstart,https://xeno-canto.org/828984/download,//creativecommons.org/licenses/by-sa/4.0/
724772,Common Starling,https://xeno-canto.org/724772/download,//creativecommons.org/licenses/by/4.0/
931490,Blyth's Pipit,https://xeno-canto.org/931490/download,//creativecommons.org/licenses/by-sa/4.0/
410420,Brown Shrike,https://xeno-canto.org/410420/download,//creativecommons.org/licenses/by-sa/4.0/
902159,Red-backed Shrike,https://xeno-canto.org/902159/download,//creativecommons.org/licenses/by-sa/4.0/
902895,Eurasian Blackcap,https://xeno-canto.org/902895/download,//creativecommons.org/licenses/by-sa/4.0/
416396,Great Reed Warbler,https://xeno-canto.org/416396/download,//creativecommons.org/licenses/by-sa/4.0/
696101,Eurasian Blue Tit,https://xeno-canto.org/696101/download,//creativecommons.org/licenses/by-sa/4.0/
721206,Common Starling,https://xeno-canto.org/721206/download,//creativecommons.org/licenses/by/4.0/
474135,Barn Swallow,https://xeno-canto.org/474135/download,//creativecommons.org/licenses/by-sa/4.0/
560015,Black Redstart,https://xeno-canto.org/560015/download,//creativecommons.org/licenses/by-sa/4.0/
560019,Eurasian Blackcap,https://xeno-canto.org/560019/download,//creativecommons.org/licenses/by-sa/4.0/
926679,Blyth's Pipit,https://xeno-canto.org/926679/download,//creativecommons.org/licenses/by-sa/4.0/
483154,Eurasian Blackcap,https://xeno-canto.org/483154/download,//creativecommons.org/licenses/by-sa/4.0/
473243,Black Redstart,https://xeno-canto.org/473243/download,//creativecommons.org/licenses/by-sa/4.0/
841783,Eurasian Skylark,https://xeno-canto.org/841783/download,//creativecommons.org/licenses/by-sa/4.0/
483168,Eurasian Blackcap,https://xeno-canto.org/483168/download,//creativecommons.org/licenses/by-sa/4.0/
478095,Common Starling,https://xeno-canto.org/478095/download,//creativecommons.org/licenses/by-sa/4.0/
815301,Eurasian Blackcap,https://xeno-canto.org/815301/download,//creativecommons.org/licenses/by-sa/4.0/
489828,Eurasian Blue Tit,https://xeno-canto.org/489828/download,//creativecommons.org/licenses/by-sa/4.0/
644283,Common Starling,https://xeno-canto.org/644283/download,//creativecommons.org/licenses/by-sa/4.0/
723190,Black Redstart,https://xeno-canto.org/723190/download,//creativecommons.org/licenses/by/4.0/
724771,Common Starling,https://xeno-canto.org/724771/download,//creativecommons.org/licenses/by/4.0/
812023,Black Redstart,https://xeno-canto.org/812023/download,//creativecommons.org/licenses/by-sa/4.0/
510545,Eurasian Blue Tit,https://xeno-canto.org/510545/download,//creativecommons.org/licenses/by-sa/4.0/
250550,Great Black Hawk,https://xeno-canto.org/250550/download,//creativecommons.org/licenses/by-sa/4.0/
575078,Broad-winged Hawk,https://xeno-canto.org/575078/download,//creativecommons.org/licenses/by-sa/4.0/
492101,Barn Swallow,https://xeno-canto.org/492101/download,//creativecommons.org/licenses/by-sa/4.0/
902435,Red-backed Shrike,https://xeno-canto.org/902435/download,//creativecommons.org/licenses/by-sa/4.0/
492099,Barn Swallow,https://xeno-canto.org/492099/download,//creativecommons.org/licenses/by-sa/4.0/
902158,Red-backed Shrike,https://xeno-canto.org/902158/download,//creativecommons.org/licenses/by-sa/4.0/
250549,Broad-winged Hawk,https://xeno-canto.org/250549/download,//creativecommons.org/licenses/by-sa/4.0/
722292,Eurasian Skylark,https://xeno-canto.org/722292/download,//creativecommons.org/licenses/by/4.0/
178041,Broad-winged Hawk,https://xeno-canto.org/178041/download,//creativecommons.org/licenses/by-sa/4.0/
791837,Wood Warbler,https://xeno-canto.org/791837/download,//creativecommons.org/licenses/by-sa/4.0/
841748,Richard's Pipit,https://xeno-canto.org/841748/download,//creativecommons.org/licenses/by-sa/4.0/
787973,Brown Shrike,https://xeno-canto.org/787973/download,//creativecommons.org/licenses/by-sa/4.0/
910411,Great Reed Warbler,https://xeno-canto.org/910411/download,//creativecommons.org/licenses/by-sa/4.0/
799451,Red-backed Shrike,https://xeno-canto.org/799451/download,//creativecommons.org/licenses/by-sa/4.0/
926678,Blyth's Pipit,https://xeno-canto.org/926678/download,//creativecommons.org/licenses/by-sa/4.0/
949351,Great Reed Warbler,https://xeno-canto.org/949351/download,//creativecommons.org/licenses/by-sa/4.0/
561036,Wood Warbler,https://xeno-canto.org/561036/download,//creativecommons.org/licenses/by-sa/4.0/
477484,Red-shouldered Hawk,https://xeno-canto.org/477484/download,//creativecommons.org/licenses/by-sa/4.0/
807096,Great Reed Warbler,https://xeno-canto.org/807096/download,//creativecommons.org/licenses/by-sa/4.0/
560014,Black Redstart,https://xeno-canto.org/560014/download,//creativecommons.org/licenses/by-sa/4.0/
931370,Blyth's Pipit,https://xeno-canto.org/931370/download,//creativecommons.org/licenses/by-sa/4.0/
510544,Eurasian Blue Tit,https://xeno-canto.org/510544/download,//creativecommons.org/licenses/by-sa/4.0/
648840,Wood Warbler,https://xeno-canto.org/648840/download,//creativecommons.org/licenses/by-sa/4.0/
516954,Common Starling,https://xeno-canto.org/516954/download,//creativecommons.org/licenses/by-sa/4.0/
83449,Barn Swallow,https://xeno-canto.org/83449/download,//creativecommons.org/licenses/by-sa/3.0/
559969,Eurasian Blackcap,https://xeno-canto.org/559969/download,//creativecommons.org/licenses/by-sa/4.0/
483803,Common Starling,https://xeno-canto.org/483803/download,//creativecommons.org/licenses/by-sa/4.0/
483185,Eurasian Blackcap,https://xeno-canto.org/483185/download,//creativecommons.org/licenses/by-sa/4.0/
884285,Red-shouldered Hawk,https://xeno-canto.org/884285/download,//creativecommons.org/licenses/by-sa/4.0/
931491,Blyth's Pipit,https://xeno-canto.org/931491/download,//creativecommons.org/licenses/by-sa/4.0/
625521,Red-shouldered Hawk,https://xeno-canto.org/625521/download,//creativecommons.org/licenses/by-sa/4.0/
