,Unnamed: 0,Unnamed: 0.1,model,mel_cepstrum_mcd,total_frames
1,3,3,5000,35.05605723989004,111680
2,8,8,10000,32.36631088476584,111680
3,7,7,15000,31.257115028254038,111680
4,24,24,20000,29.82829864148161,111680
5,6,6,25000,29.127663762633485,111352
6,9,9,30000,28.83715596921941,111680
7,4,4,35000,27.685807226275372,111352
8,0,0,40000,26.80682843233947,111352
9,13,13,45000,26.512230529416453,111352
10,15,15,50000,26.375858649008237,111352
11,12,12,55000,25.203404772586662,111352
12,20,20,60000,25.441955563667435,111352
13,21,21,65000,25.574721408938142,111352
14,5,5,70000,25.14263598036521,111680
15,23,23,75000,25.58130791654,111352
16,19,19,80000,25.49506156942668,111352
17,10,10,85000,25.49108951215424,111352
18,16,16,90000,25.35715616982256,111352
19,1,1,95000,25.368676484902767,111352
20,22,22,100000,25.356833584931298,111680
